[642E6823]
;
EE74,2.00,12246,2172,192
F0E0,2.00,12063,2921,330
F49A,2.00,11701,4064,549
F641,2.00,11506,4551,647
FBF9,2.00,10694,6173,978
FC99,2.00,10588,6335,1015
FEF4,2.00,10170,6956,1146
009E,2.00,9884,7351,1256
01E7,2.00,9627,7683,1338
058B,2.00,8856,8560,1545
08B5,2.00,8151,9232,1703
0B06,2.00,7604,9687,1815
0DBB,2.00,6937,10184,1949
1584,2.00,4878,11343,2293
1993,2.00,3741,11781,2435
1A16,2.00,3594,11829,2462
1B39,2.00,3268,11924,2504
1FFA,2.00,1896,12238,2644
24D2,2.00,481,12385,2767
2954,2.00,-832,12381,2856
30BC,2.00,-2968,12056,2951
31BB,2.00,-3246,11983,2959
3487,2.00,-4034,11742,2968
3538,2.00,-4223,11676,2972
37B8,2.00,-4899,11409,2977
3927,2.00,-5279,11235,2978
3D79,2.00,-6404,10632,2957
3F14,2.00,-6795,10376,2945
3F11,2.00,-6792,10378,2947
400F,2.00,-7040,10202,2933
4326,2.00,-7769,9651,2887
48DA,2.00,-9024,8488,2773
4C25,2.00,-9666,7731,2685
4C98,2.00,-9750,7624,2672
4F9E,2.00,-10282,6875,2575
5188,2.00,-10599,6380,2509
541D,2.00,-10981,5691,2411
5679,2.00,-11302,5024,2314
5624,2.00,-11253,5124,2331
5908,2.00,-11594,4291,2204
5936,2.00,-11614,4240,2197
5AC1,2.00,-11769,3788,2124
5B0E,2.00,-11796,3703,2109
5B0B,2.00,-11795,3708,2108
5B0F,2.00,-11797,3702,2111
5D23,2.00,-11977,3068,2005
5EA1,2.00,-12087,2613,1936
61EC,2.00,-12267,1613,1760
65D9,2.00,-12378,370,1550
66EF,2.00,-12386,29,1496
6927,2.00,-12382,-664,1368
6B49,2.00,-12339,-1344,1238
6DC1,2.00,-12240,-2131,1083
6FC9,2.00,-12128,-2764,952
719D,2.00,-11999,-3327,832
7222,2.00,-11959,-3490,794
7438,2.00,-11779,-4128,651
7423,2.00,-11782,-4109,672
7595,2.00,-11633,-4547,591
7764,2.00,-11426,-5083,480
7968,2.00,-11168,-5671,354
7BBF,2.00,-10837,-6342,204
7FED,2.00,-10129,-7479,-49
81B4,2.00,-9807,-7938,-156
825E,2.00,-9670,-8118,-201
82DC,2.00,-9577,-8245,-220
8539,2.00,-9099,-8829,-381
8821,2.00,-8470,-9494,-551
8825,2.00,-8455,-9506,-550
8923,2.00,-8229,-9717,-598
8A81,2.00,-7901,-10008,-675
8DAD,2.00,-7126,-10633,-840
8F0E,2.00,-6764,-10894,-897
8E90,2.00,-6900,-10802,-870
9117,2.00,-6235,-11237,-980
939D,2.00,-5541,-11630,-1085
93BF,2.00,-5510,-11652,-1106
98D2,2.00,-4068,-12292,-1316
9CC4,2.00,-2905,-12670,-1449
9FCE,2.00,-1993,-12871,-1535
A42A,2.00,-665,-13048,-1629
A306,2.00,-1023,-13023,-1604
A377,2.00,-881,-13034,-1610
A853,2.00,602,-13074,-1690
AC3A,2.00,1787,-12982,-1737
ADEE,2.00,2296,-12910,-1756
B14A,2.00,3292,-12688,-1778
B56E,2.00,4501,-12308,-1781
B9D8,2.00,5733,-11768,-1762
B9DA,2.00,5734,-11768,-1762
C070,1.95,7609,-10989,-1524
