FEI-1210020[64097130]
;
D45C,1.85,-9545,2363,543
DA32,1.85,-9773,976,288
E216,1.85,-9752,-913,-60
E9F0,1.85,-9389,-2763,-391
EF4E,1.85,-8925,-3976,-607
F7F4,1.85,-7853,-5764,-922
0B2A,1.85,-4336,-8744,-1446
0FF1,1.85,-3268,-9213,-1528
164D,1.85,-1782,-9630,-1602
1BFE,1.85,-392,-9822,-1635
2FB5,1.85,4287,-8961,-1463
3CF4,1.85,6962,-7175,-1126
551F,1.85,9874,-2152,-178
665C,1.85,9888,2021,578
73EB,1.85,8681,5080,1144
7A90,1.85,7725,6398,1402
7C71,1.80,7578,6901,1443
844A,1.80,6117,8184,1668
8A4D,1.80,4834,8968,1805
90E0,1.80,3327,9604,1911
9AA0,1.80,947,10068,1985
A04E,1.80,-449,10084,1983
AD12,1.80,-3549,9406,1848
B322,1.80,-4911,8761,1730
CAB5,1.80,-8920,4637,959
D297,1.80,-9642,2825,635
DB9E,1.80,-10024,645,235
E651,1.80,-9822,-1975,-244
EDEC,1.80,-9270,-3753,-559
F7E9,1.80,-8053,-5902,-941
0316,1.80,-6122,-7873,-1287
0A25,1.80,-4659,-8830,-1460
130E,1.80,-2608,-9660,-1601
1920,1.80,-1121,-9972,-1657
1D2A,1.80,-115,-10060,-1667
2D95,1.80,3891,-9374,-1534
320B,1.80,4896,-8905,-1447
3FFE,1.80,7660,-6824,-1052
4CC1,1.80,9426,-4177,-562
5F27,1.80,10332,285,242
6C7E,1.80,9686,3534,832
78C4,1.80,8185,6197,1319
7B65,1.80,7768,6702,1417
7B9C,1.70,8054,7045,1477
9151,1.70,3358,10071,2009
9DDD,1.70,141,10565,2082
A986,1.70,-2841,10124,1988
BB1B,1.70,-6825,7973,1595
C6FA,1.70,-8851,5679,1166
D1BC,1.70,-10023,3162,707
D84E,1.70,-10413,1528,406
E374,1.70,-10411,-1337,-118
EAA6,1.70,-10012,-3141,-441
F823,1.70,-8403,-6223,-992
0027,1.70,-7010,-7751,-1260
