[63FD6149]
;FEI-1210016
FB3C,2.00,2888,7881,2064
FF64,2.00,2062,8114,2108
005E,2.00,1866,8160,2118
0398,2.00,1204,8271,2139
056D,2.00,821,8304,2144
0CD8,2.00,-710,8292,2134
0CCE,2.00,-702,8301,2136
1079,2.00,-1458,8195,2115
1171,2.00,-1659,8159,2108
13D1,2.00,-2140,8044,2081
154D,2.00,-2442,7971,2067
16F5,2.00,-2766,7864,2040
186D,2.00,-3054,7758,2019
1947,2.00,-3216,7693,1997
1AE2,2.00,-3523,7568,1971
1CB4,2.00,-3872,7418,1939
1ECD,2.00,-4261,7211,1895
20DB,2.00,-4625,6991,1847
23B0,2.00,-5112,6658,1776
253B,2.00,-5365,6468,1737
2550,2.00,-5379,6456,1734
2755,2.00,-5698,6183,1676
2912,2.00,-5963,5937,1624
2C42,2.00,-6418,5447,1515
2C30,2.00,-6400,5454,1515
2CB2,2.00,-6492,5390,1503
2E98,2.00,-6758,5096,1434
30F0,2.00,-7050,4707,1360
320F,2.00,-7172,4513,1311
3495,2.00,-7448,4060,1216
3721,2.00,-7697,3584,1112
38E6,2.00,-7850,3247,1038
3BD5,2.00,-8066,2676,912
3D5D,2.00,-8161,2375,849
413C,2.00,-8342,1593,676
4631,2.00,-8494,567,455
4758,2.00,-8509,325,404
4950,2.00,-8523,-78,320
524F,2.00,-8286,-1947,-87
561C,2.00,-8071,-2704,-249
6212,2.00,-6910,-4903,-714
665E,2.00,-6350,-5594,-856
6995,2.00,-5854,-6069,-950
6CB9,2.00,-5366,-6502,-1045
7059,2.00,-4765,-6964,-1141
7172,2.00,-4575,-7088,-1165
7276,2.00,-4388,-7203,-1186
736F,2.00,-4207,-7299,-1204
7668,2.00,-3654,-7593,-1269
7929,2.00,-3127,-7823,-1314
793B,2.00,-3113,-7828,-1316
7A89,2.00,-2860,-7928,-1333
7C1D,2.00,-2545,-8044,-1356
7DCC,2.00,-2202,-8134,-1374
7ECA,2.00,-2003,-8198,-1385
8160,2.00,-1471,-8321,-1409
81E3,2.00,-1360,-8336,-1410
8388,2.00,-1014,-8388,-1420
8462,2.00,-838,-8406,-1424
8614,2.00,-478,-8433,-1429
878C,2.00,-174,-8455,-1432
8A98,2.00,462,-8451,-1426
8CC4,2.00,921,-8432,-1420
8F9F,2.00,1525,-8365,-1403
91F8,2.00,2009,-8282,-1386
938E,2.00,2329,-8201,-1366
93A8,2.00,2353,-8194,-1366
91D3,1.95,2027,-8476,-1406
9EE8,1.95,4653,-7489,-1190
A884,1.95,6333,-6274,-917
